period,quartiles,effect,lb,ub
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
-20,5,0,0,0
